id	name	dmm_id	ruby
158	アポロ	5555	あぽろ
159	アポロ/妄想族	6734	あぽろもうそうぞく
160	アマチュアインディーズ	46240	あまちゅあいんでぃーず
161	アマチュアTV	3695	あまちゅあてれび
162	アマチュアバンク	45306	あまちゅあばんく
163	AMATEUR BOX/妄想族	6762	あまちゅあぼっくすもうそうぞく
164	アマン	1232	あまん
165	アミバ	3622	あみば
166	AMEDIA/妄想族	6610	あめでぃあもうそうぞく
167	アメリカン映像	3696	あめりかんえいぞう
168	アメロリ企画	3799	あめろりきかく
169	絢	4668	あや
170	あや屋	4710	あやや
171	アライズ	300704	あらいず
172	AROUND	45562	あらうんど
173	アラカルト	4101	あらかると
174	嵐を呼ぶスーパーガール	5606	あらしをよぶすーぱーがーる
175	あら、スケベ/妄想族	6715	あらすけべもうそうぞく
176	アラフォー	5522	あらふぉー
177	アリウス	40161	ありうす
178	アリエル	4408	ありえる
179	アリス	5871	ありす
180	アリスJAPAN	40039	ありすじゃぱん
181	アリーナエンターテインメント	40081	ありーなえんたーていんめんと
182	alcoholic	1006	あるこーるっく
183	アルゴキアン	1233	あるごきあん
184	アルゴリズム	5375	あるごりずむ
185	ULTIMATE WORLD	4343	あるてぃめっとわーるど
186	アルテミス	308119	あるてみす
187	アルファ	4876	あるふぁ
188	アルファ企画	3868	あるふぁきかく
189	アルファ リング	1910	あるふぁりんぐ
190	アルファーインターナショナル	40106	あるふぁーいんたーなしょなる
191	アルプス通信社	4558	あるぷすつうしんしゃ
192	アレック映像	4345	あれっくえいぞう
193	アロマ	5704	あろま
194	アロマ企画	40012	あろまきかく
195	アロー企画	3996	あろーきかく
196	合わせ貝企画	5126	あわせがいきかく
197	アワード	5878	あわーど
198	ankylosaur	1007	あんきろーさうる
199	アンギャル	5695	あんぎゃる
200	アンク	5294	あんく
201	アンクファー	4895	あんくふぁー
202	アングラ	6455	あんぐら
203	アングラX	4239	あんぐらえっくす
204	アングラ超え	4941	あんぐらごえ
205	アングラビデオ・ジャパン	5277	あんぐらびでおじゃぱん
206	暗黒映像出版	4979	あんこくえいぞうしゅっぱん
207	暗黒黙示録	5327	あんこくもくしろく
208	暗黒遊戯	4769	あんこくゆうぎ
209	アンサー	1235	あんさー
210	アンジェラ	4559	あんじぇら
211	ANGELA	45475	あんじぇら
212	アンジャスティファイ	1236	あんじゃすてぃふぁい
213	アンジャスト	1237	あんじゃすと
214	あんず/妄想族	6764	あんずもうそうぞく
215	アンソニー	4684	あんそにー
216	アンダー	46409	あんだー
217	アンダーカバー	1238	あんだーかばー
218	under ground	2587	あんだーぐらうんど
219	アンダーグランドビデオ	5578	あんだーぐらんどびでお
220	アンダー ジョーンズ	1914	あんだーじょーんず
221	UnderZone	4840	あんだーぞーん
222	アンダードキュン	5343	あんだーどきゅん
223	アンダーファッキング	3334	あんだーふぁっきんぐ
224	アンダーファック	4141	あんだーふぁっく
225	UNDER MORE	4306	あんだーもあ
226	Under World	3057	あんだーらんど
227	アンダー･ロ●ータ	4560	あんだーろまるーた
228	UNDER Wonder Land	4533	あんだーわんだーらんど
229	アンダーワールドシステム	4991	あんだーわーるどしすてむ
230	アンダーワールド・ベータ	4990	あんだーわーるどべーた
231	アンティ	4685	あんてぃ
232	アンティック	45601	あんてぃっく
233	＆RiBbON	46446	あんどりぼん
234	アンナと花子	5210	あんなとはなこ
235	アンビセクシャル	1239	あんびせくしゃる
236	unfinished	45867	あんふぃにっしゅと
237	unfinished-VR	6707	あんふぃにっしゅどぶいあーる
238	アンマスク	1915	あんますく
239	unlock	1165	あんろっく
240	ARK	5714	あーく
241	アーチン クィーン	1216	あーちんくぃーん
242	ARDEN	5715	あーでん
243	ART of SEX	4401	あーとおぶせっくす
244	アート ギャング	1217	あーとぎゃんぐ
245	アートビデオ	40194	あーとびでお
246	ABC/妄想族	5534	あーとぼでぃこれくしょんもうそうぞく
247	アートモード	5034	あーともーど
248	R	5425	あーる
249	R-15	5167	あーる15
250	RHB	40410	あーるえっちびー
251	R･W･O	4530	あーるだぶるおー
252	R-NOON	5727	あーるぬーん
253	R＝BOOT	45280	あーるぶーと
254	R-planning	4305	あーるぷらにんぐ
255	RUM	1831	あーるゆーえむ
256	アートビデオSM/妄想族	6172	あーろびでおえすえむもうそうぞく
257	イアエ	5091	いあえ
258	イイH	2425	いいえっち
259	イイ乱交会GREAT	3782	いいらんこうかいぐれーと
260	イエス ガール	1241	いえすがーる
261	イエロー	45051	いえろー
262	イエローキャップ	3448	いえろーきゃっぷ
263	Yellow Duck	45264	いえろーだっく
264	Yellow Pinkman	40552	いえろーぴんくまん
265	イエローフィッシュ	1242	いえろーふぃっしゅ
266	Yellow Moon（イエロームーン）	46618	いえろーむーん
267	イエロー/妄想族	6626	いえろーもうそうぞく
268	イカせてガッテン！	3404	いかせてがってん
269	いきなりエロざんまい	40531	いきなりえろざんまい
270	逝ク逝ク団	301603	いくいくだん
271	イクシオ	4505	いくしお
272	イクジット	5244	いくじっと
273	イクス	4842	いくす
274	ex	45649	いくす
275	イクスギーグ	3955	いくすぎーぐ
276	イグニッション	4686	いぐにっしょん
277	池田屋	4887	いけだや
278	イケナイ♀TV	2996	いけないてれび
279	equal	1048	いこーる
280	居酒屋モニタリング	46730	いざかやもにたりんぐ
281	イザム	5554	いざむ
282	イザヤ	1244	いざや
283	石置	46578	いしおき
284	石川	6290	いしかわ
285	石川援交	5127	いしかわえんこう
286	井宿	30647	いしゅく
287	イジワルフェイス	3832	いじわるふぇいす
288	伊関グループ	30679	いせきぐるーぷ
289	五十路ん	46531	いそじん
290	威像	3092	いぞう
291	itchy	1067	いち
292	1113工房/妄想族	6609	いちいちいちさんこうぼう
293	1113工房VR	40424	いちいちいちさんこうぼうぶいあーる
294	イチキュッパー	45846	いちきゅっぱー
295	一期一会	5776	いちごいちえ
296	苺一会/妄想族	300508	いちごいちえもうそうぞく
297	いちご通信社	3788	いちごつうしんしゃ
298	いちじくハウス	4030	いちじくはうす
299	ICHIBAN VR	300187	いちばんぶいあーる
300	一華男乱	5811	いっかだんらん
301	イッシー	5731	いっしー
302	イッパツオネガイ/妄想族	6588	いっぱつおねがいもうそうぞく
303	一般人	4422	いっぱんじん
304	YIPPEE	1200	いっぴー
305	INAZUMA	45492	いなずま
306	犬/妄想族	6730	いぬもうそうぞく
307	イノセント/妄想族	6642	いのせんともうそうぞく
308	ImagineVR	40392	いまじんぶいあーる
309	Image Avenue	45891	いめーじあべにゅー
310	イメージ ウーマン	1245	いめーじうーまん
311	イメージシーン	4031	いめーじしーん
312	妹オナニー	4752	いもうとおなにー
313	妹企画	30695	いもうときかく
314	いもうとChannel	46248	いもうとちゃんねる
315	妹マニア	4299	いもうとまにあ
316	イヤーズ ジャンカー	1246	いやーずじゃんかー
317	イヤーワックス	1247	いやーわっくす
318	ILLEGAL＜イリーガル＞/妄想族	301559	いりーがるもうそうぞく
319	イルカ/エマニエル	300275	いるかえまにえる
320	イレ☆GAL☆	4877	いれぎゃる
321	イロハ堂	3800	いろはどう
322	淫花帝国	45732	いんかていこく
323	いんぐりもんぐり	4687	いんぐりもんぐり
324	淫口	5761	いんこう
325	淫行記録	3670	いんこうきろく
326	淫行ファーマー	1570	いんこうふぁーまー
327	隠語辞典	3463	いんごじてん
328	淫酒	4980	いんしゅ
329	淫熟ハウス	2424	いんじゅくはうす
330	インセストタブー	3726	いんせすとたぶー
331	淫族カンパニー	2437	いんぞくかんぱにー
332	インターエクスプレス社	5718	いんたーえくすぷれすしゃ
333	インター企画	2562	いんたーきかく
334	インターネットの闇	40384	いんたーねっとのやみ
335	インターバル	1248	いんたーばる
336	インダクト ボーグ	1249	いんだくとぼーぐ
337	INTEC Inc	45999	いんてっくいんく
338	インディジェナス	4102	いんでぃじぇなす
339	インディーZ	5749	いんでぃーず
340	indies	5315	いんでぃーず
341	IMPACT	60817	いんぱくと
342	impact	45906	いんぱくと
343	インピッシュ ボーイズ	1250	いんぴっしゅぼーいず
344	infinity	5037	いんふぃにてぃ
345	Infection	5809	いんふぇくしょん
346	インフォメディア	46246	いんふぉめでぃあ
347	インベーダー フォーカス	1921	いんべーだーふぉーかす
348	淫萬	3973	いんまん
349	淫夢	4185	いんむ
350	インモラル ジェット	1251	いんもらるじぇっと
351	隠撮会	5733	いんようかい
352	淫乱映像	2338	いんらんえいぞう
353	淫乱OL	4086	いんらんおーえる
354	淫乱教師派遣	4154	いんらんじょきょうしはけん
355	淫乱妻の会	3733	いんらんづまのかい
356	淫乱牧場	3761	いんらんぼくじょう
357	淫乱request	1571	いんらんりくえすと
358	E-ANIKI	4501	いーあにき
359	E→R	5521	いーあーる
360	EEPL	5914	いーいーぴーえる
361	イーヴァ	5777	いーう゛ぁ
362	Ex	4917	いーえっくす
363	E-感じ	1054	いーかんじ
364	イーグルジャパン	3831	いーぐるじゃぱん
365	イージャン	4764	いーじゃん
366	E塾長	3694	いーじゅくちょう
367	EZ映像	5216	いーぜっとえいぞう
368	EW企画	5810	いーだぶりゅーきかく
369	イーッネ★パラダイス	5194	いーっねぱらだいす
370	E-II	5501	いーつー
371	e-2dive	66612	いーつーだいぶ
372	ET Vision	5365	いーてぃーびじょん
373	EDFL	5894	いーでぃーえふえる
374	Eドラ！	46364	いーどら
375	イーネット・フロンティア	60041	いーねっとふろんてぃあ
376	イービル愛	5224	いーびるあい
377	EBK	4655	いーびーけー
378	EPI出版	30628	いーぴーあいしゅっぱん
379	EPS	4810	いーぴーえす
380	E-Fain	1701	いーふぁいん
381	イープロダクション	1240	いーぷろだくしょん
382	E-BODY	5032	いーぼでぃ
383	e-muse	45599	いーみゅーず
384	ウィ	5756	うぃ
385	Wicked ToyBox	3307	うぃきっどとーいぼっくす
386	Wizard File	4921	うぃざーどふぁいる
387	ウィズ・アイ	5324	うぃずあい
388	ウィズ・エンタープライズ	66040	うぃずえんたーぷらいず
389	Wyvern Quaint	1869	うぃばーんくわいんと
390	ウィン	1923	うぃん
