video_id	attribute	url
15	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=madm00207/size=644_414/affi_id=10278-996/
15	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=madm00207/size=720_480/affi_id=10278-996/
16	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=mase00075/size=476_306/affi_id=10278-996/
16	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=mase00075/size=560_360/affi_id=10278-996/
16	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=mase00075/size=644_414/affi_id=10278-996/
16	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=mase00075/size=720_480/affi_id=10278-996/
18	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=nkkd00355/size=476_306/affi_id=10278-996/
18	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=nkkd00355/size=560_360/affi_id=10278-996/
18	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=nkkd00355/size=644_414/affi_id=10278-996/
18	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=nkkd00355/size=720_480/affi_id=10278-996/
19	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=pbd00502/size=476_306/affi_id=10278-996/
19	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=pbd00502/size=560_360/affi_id=10278-996/
19	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=pbd00502/size=644_414/affi_id=10278-996/
19	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=pbd00502/size=720_480/affi_id=10278-996/
20	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=125umd976/size=476_306/affi_id=10278-996/
20	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=125umd976/size=560_360/affi_id=10278-996/
20	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=125umd976/size=644_414/affi_id=10278-996/
20	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=125umd976/size=720_480/affi_id=10278-996/
23	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=real933/size=476_306/affi_id=10278-996/
23	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=real933/size=560_360/affi_id=10278-996/
23	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=real933/size=644_414/affi_id=10278-996/
23	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=real933/size=720_480/affi_id=10278-996/
25	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=cjob00187/size=476_306/affi_id=10278-996/
25	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=cjob00187/size=560_360/affi_id=10278-996/
25	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=cjob00187/size=644_414/affi_id=10278-996/
25	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=cjob00187/size=720_480/affi_id=10278-996/
26	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=pbd00500/size=476_306/affi_id=10278-996/
26	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=pbd00500/size=560_360/affi_id=10278-996/
26	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=pbd00500/size=644_414/affi_id=10278-996/
26	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=pbd00500/size=720_480/affi_id=10278-996/
27	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=mizd00473/size=476_306/affi_id=10278-996/
27	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=mizd00473/size=560_360/affi_id=10278-996/
27	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=mizd00473/size=644_414/affi_id=10278-996/
27	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=mizd00473/size=720_480/affi_id=10278-996/
28	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=mizd00480/size=476_306/affi_id=10278-996/
28	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=mizd00480/size=560_360/affi_id=10278-996/
28	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=mizd00480/size=644_414/affi_id=10278-996/
28	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=mizd00480/size=720_480/affi_id=10278-996/
29	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=nsfs00411/size=476_306/affi_id=10278-996/
29	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=nsfs00411/size=560_360/affi_id=10278-996/
29	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=nsfs00411/size=644_414/affi_id=10278-996/
