id	attribute	url	video_id
53	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=nkkd00355/size=476_306/affi_id=10278-996/	18
54	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=nkkd00355/size=560_360/affi_id=10278-996/	18
55	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=nkkd00355/size=644_414/affi_id=10278-996/	18
56	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=nkkd00355/size=720_480/affi_id=10278-996/	18
57	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=pbd00502/size=476_306/affi_id=10278-996/	19
58	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=pbd00502/size=560_360/affi_id=10278-996/	19
59	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=pbd00502/size=644_414/affi_id=10278-996/	19
60	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=pbd00502/size=720_480/affi_id=10278-996/	19
61	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=125umd976/size=476_306/affi_id=10278-996/	20
62	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=125umd976/size=560_360/affi_id=10278-996/	20
63	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=125umd976/size=644_414/affi_id=10278-996/	20
64	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=125umd976/size=720_480/affi_id=10278-996/	20
65	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=real933/size=476_306/affi_id=10278-996/	23
66	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=real933/size=560_360/affi_id=10278-996/	23
67	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=real933/size=644_414/affi_id=10278-996/	23
68	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=real933/size=720_480/affi_id=10278-996/	23
69	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=cjob00187/size=476_306/affi_id=10278-996/	25
70	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=cjob00187/size=560_360/affi_id=10278-996/	25
71	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=cjob00187/size=644_414/affi_id=10278-996/	25
72	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=cjob00187/size=720_480/affi_id=10278-996/	25
73	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=pbd00500/size=476_306/affi_id=10278-996/	26
74	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=pbd00500/size=560_360/affi_id=10278-996/	26
75	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=pbd00500/size=644_414/affi_id=10278-996/	26
76	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=pbd00500/size=720_480/affi_id=10278-996/	26
77	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=mizd00473/size=476_306/affi_id=10278-996/	27
78	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=mizd00473/size=560_360/affi_id=10278-996/	27
79	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=mizd00473/size=644_414/affi_id=10278-996/	27
80	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=mizd00473/size=720_480/affi_id=10278-996/	27
81	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=mizd00480/size=476_306/affi_id=10278-996/	28
82	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=mizd00480/size=560_360/affi_id=10278-996/	28
83	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=mizd00480/size=644_414/affi_id=10278-996/	28
84	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=mizd00480/size=720_480/affi_id=10278-996/	28
85	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=nsfs00411/size=476_306/affi_id=10278-996/	29
86	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=nsfs00411/size=560_360/affi_id=10278-996/	29
87	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=nsfs00411/size=644_414/affi_id=10278-996/	29
88	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=nsfs00411/size=720_480/affi_id=10278-996/	29
89	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=504ibw991z/size=476_306/affi_id=10278-996/	30
90	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=504ibw991z/size=560_360/affi_id=10278-996/	30
91	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=504ibw991z/size=644_414/affi_id=10278-996/	30
92	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=504ibw991z/size=720_480/affi_id=10278-996/	30
93	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=h_237zmar144/size=476_306/affi_id=10278-996/	40
94	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=h_237zmar144/size=560_360/affi_id=10278-996/	40
95	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=h_237zmar144/size=644_414/affi_id=10278-996/	40
96	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=h_237zmar144/size=720_480/affi_id=10278-996/	40
97	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=bjd055/size=476_306/affi_id=10278-996/	41
98	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=bjd055/size=560_360/affi_id=10278-996/	41
99	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=bjd055/size=644_414/affi_id=10278-996/	41
100	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=bjd055/size=720_480/affi_id=10278-996/	41
101	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=fwtr00023/size=476_306/affi_id=10278-996/	42
102	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=fwtr00023/size=560_360/affi_id=10278-996/	42
103	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=fwtr00023/size=644_414/affi_id=10278-996/	42
104	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=fwtr00023/size=720_480/affi_id=10278-996/	42
