id	attribute	url	video_id
210938	list	https://pics.dmm.co.jp/digital/video/mdbk00386/mdbk00386pt.jpg	24
210939	small	https://pics.dmm.co.jp/digital/video/mdbk00386/mdbk00386ps.jpg	24
211012	large	https://pics.dmm.co.jp/digital/video/cjob00187/cjob00187pl.jpg	25
211010	list	https://pics.dmm.co.jp/digital/video/cjob00187/cjob00187pt.jpg	25
211011	small	https://pics.dmm.co.jp/digital/video/cjob00187/cjob00187ps.jpg	25
211015	large	https://pics.dmm.co.jp/digital/video/pbd00500/pbd00500pl.jpg	26
211013	list	https://pics.dmm.co.jp/digital/video/pbd00500/pbd00500pt.jpg	26
211014	small	https://pics.dmm.co.jp/digital/video/pbd00500/pbd00500ps.jpg	26
211018	large	https://pics.dmm.co.jp/digital/video/mizd00473/mizd00473pl.jpg	27
211016	list	https://pics.dmm.co.jp/digital/video/mizd00473/mizd00473pt.jpg	27
211017	small	https://pics.dmm.co.jp/digital/video/mizd00473/mizd00473ps.jpg	27
211021	large	https://pics.dmm.co.jp/digital/video/mizd00480/mizd00480pl.jpg	28
211019	list	https://pics.dmm.co.jp/digital/video/mizd00480/mizd00480pt.jpg	28
211020	small	https://pics.dmm.co.jp/digital/video/mizd00480/mizd00480ps.jpg	28
211024	large	https://pics.dmm.co.jp/digital/video/nsfs00411/nsfs00411pl.jpg	29
211022	list	https://pics.dmm.co.jp/digital/video/nsfs00411/nsfs00411pt.jpg	29
211023	small	https://pics.dmm.co.jp/digital/video/nsfs00411/nsfs00411ps.jpg	29
211027	large	https://pics.dmm.co.jp/digital/video/504ibw00991z/504ibw00991zpl.jpg	30
211025	list	https://pics.dmm.co.jp/digital/video/504ibw00991z/504ibw00991zpt.jpg	30
211026	small	https://pics.dmm.co.jp/digital/video/504ibw00991z/504ibw00991zps.jpg	30
210931	large	https://pics.dmm.co.jp/digital/video/bmw00326/bmw00326pl.jpg	31
210929	list	https://pics.dmm.co.jp/digital/video/bmw00326/bmw00326pt.jpg	31
