id	code	title	dmm_id	description	release_date	length	label	series_id	maker_id
2949	SOE-745	バコバコ風俗 NO.1指名 春菜はな	soe00745	「ご指名ありがとうございます！」なんと本日の嬢は爆乳Kカップ「春菜はな」チャン！！絶品ボディ＆天真爛漫な満点サービスで最後の一滴までとことんヌキまくれる夢の風俗店が開店！！多彩なバリエーションの人気風俗フルコースたっぷり9コーナー！！	2012-04-05			31816	565
2950	SOE-727	秘密捜査官の女 性奴●にされた巨乳エージェント 春菜はな	soe00727	バイオレンスなレ●プシーンと迫力のアクションでお届けする「秘密捜査官の女」にKカップの究極BODYの持ち主「春菜はな」が登場！！任務で潜入した研究所で監禁・洗脳され次々と行われる残虐レ●プ！非道の果てに性奴●に堕ちた捜査官が終わらない凌●で精神崩壊！！	2012-03-03			33270	565
2951	SOE-709	20コス！ 春菜はな	soe00709	ハズレ無しのセーラー服、アイドル、チャイナからロリやギャルや袴姿から男装まで！？多彩なシチュエーション盛りだくさんでお届けするボリュームたっぷり20コーナー！！様々なコスプレで登場するはなちゃんを徹底的に堪能してどれをとってもヌキどころ満載「20コス！」	2012-02-03			29013	565
2952	SOE-696	即ズボ！ ランプが光ったらどこでもセックス 春菜はな	soe00696	春菜はなが突然ハメちゃうハプニング作品「即ズボ！」に登場！突然現れる撮影部隊に驚く暇もなくあっという間にパンツを下ろされその場で「即ズボ！」小心者のはなちゃんは24時間いつ始まるか分からない撮影にドッキドキ！いきなりの展開に戸惑いながらも正直物のマンコはチンポが挿った瞬間にスイッチON！	2011-12-29			22901	565
2953	ONSD-573	高嶺の花のインテリ美女を犯る！4時間 - 吉沢明歩	onsd00573		2011-12-29			3749	565
2954	ONSD-571	春菜はな エスワン8時間 Special	onsd00571	Kカップの豊満バストと天性のエロスを併せ持つ「春菜はな」のエスワンでの奇跡をぜ～んぶ凝縮！全10タイトルからヌキどころ満載の21コーナーを厳選！！さらに未公開映像5コーナーを追加した盛り沢山のspecial総集編ドド～んとたっぷりお届け！！	2011-12-11			3749	565
2955	EBOD-183	SSS-BODY 巨大乳房は、快楽の泉である。 春菜はな	ebod00183	2011-2012年SSS-BODY連続リリース第2弾は、着エロ界を席巻し、MUTEKI→S1でナンバーワンの名前を欲しいままにした、バスト108cmKカップSSS級女優・春菜はなが登場！飾り気のない、純粋無垢な彼女だからこそ、限りなく動物に近いSEXを繰り広げる！8コーナーのガチセックスSSS-BODY特大版！	2011-12-08			3754	382
2956	RKI-154	空中レロレロ 超S級単体女優のエアキッス3 - 小川あさ美	rki00154	S級女優7名が軽く、ねっとり、ブチュッ！っとアナタを誘惑接吻。耳元で吐息をかけて囁き→興奮した顔でアナタを求め→淫乱な音を立て濃厚に接吻…。SEXを超えたネットリ口淫とキス音に勃起まちがいなし！想像すると美女達の手や足がアナタの興奮したものを刺激しているかも…。	2011-11-13			11834	4241
2957	SOE-669	イキまくり巨根FUCK 春菜はな	soe00669	Kカップの究極BODYに突き挿さるぶっとい肉棒の数々！！「こんなにおっきいオチンチン挿れたらオマンコどうなっちゃうの？」膣奥まで完全に届く業界屈指のビックマグナム軍団が春菜はなのスケベなオマンコをオチンチンで一杯にし絶叫イキまくりFUCK！	2011-11-03			1550	565
2958	SOE-658	夫の目の前で犯●れた若妻 春菜はな	soe00658	「お願い！見ないでぇぇぇ！！」最愛の人の前で強●され純真な若妻は堕ちていく…幸せな生活を送っていた若妻にとつじょ襲い掛かる非道なレ●プの数々！！喉奥イラマチオ・脅迫レ●プ・輪●etc…爆乳Kカップアイドル「春菜はな」が魅せる渾身のレ●プシリーズ！！	2011-10-06				565
