genre_id|name|ruby
1041|コンパニオン|こんぱにおん
5059|拷問|ごうもん
1071|極道・任侠|ごくどうにんきょう
5009|ごっくん|ごっくん
6069|サイコ・スリラー|さいこすりらー
5022|3P・4P|さんぴーよんぴー
21|残虐表現|ざんぎゃくひょうげん
5016|潮吹き|しおふき
5020|シックスナイン|しっくすないん
5021|縛り・緊縛|しばりきんばく
28|羞恥|しゅうち
5063|主観|しゅかん
1026|職業色々|しょくぎょういろいろ
62|触手|しょくしゅ
5024|食糞|しょくふん
55|処女|しょじょ
4058|ショタ|しょた
4011|尻フェチ|しりふぇち
4024|素人|しろうと
6966|白目・失神|しろめしっしん
6988|新人ちゃん続々デビュー|しんじんちゃんぞくぞくでびゅー
5070|時間停止|じかんていし
6161|10枚組|じゅうまいぐみ
6609|16時間以上作品|じゅうろくじかんいじょうさくひん
1014|熟女|じゅくじょ
1015|女医|じょい
6944|女王様|じょおうさま
1017|女子アナ|じょしあな
1018|女子校生|じょしこうせい
1019|女子大生|じょしこうせい
35|女性向け|じょせいむけ
3036|女装・男の娘|じょそうおとこのこ
6608|女優ベスト・総集編|じょゆうべすとそうしゅうへん
4018|スカトロ|すかとろ
1007|スチュワーデス|すちゅわーです
6940|スパンキング|すぱんきんぐ
4096|スポーツ|すぽーつ
6671|スマホ推奨縦動画|すまほすいしょうたてどうが
617|3D|すりーでぃー
2006|スレンダー|すれんだー
6970|スワッピング・夫婦交換|すわっぴんぐふうふこうかん
95|性転換・女体化|せいてんかんにょたいか
48|制服|せいふく
66317|制服|せいふく
4098|セクシー|せくしー
79002|セクシー|せくしー
66310|セクシー|せくしー
7267|セット商品|せっとしょうひん
6955|セレブ|せれぶ
6912|セレブの友【特典A】対象作品|せれぶのともとくてんえーたいしょうさくひん
6914|セレブの友【特典C】対象作品|せれぶのともとくてんしーたいしょうさくひん
3003|セーラー服|せーらーふく
5072|早漏|そうろう
3029|即ハメ|そくはめ
1030|そっくりさん|そっくりさん
6007|その他|そのた
4010|その他フェチ|そのたふぇち
6086|体験告白|たいけんこくはく
3001|体操着・ブルマ|たいそうぎぶるま
4025|単体作品|たんたいさくひん
5013|脱糞|だっぷん
4105|ダンス|だんす
568|ダーク系|だーくけい
6959|チアガール|ちあがーる
1031|痴女|ちじょ
3005|チャイナドレス|ちゃいなどれす
4116|着エロ|ちゃくえろ
2002|長身|ちょうしん
6149|超乳|ちょうにゅう
2019|ツンデレ|つんでれ
5004|手コキ|てこき
6941|ディルド|でぃるど
10138|ディルド|でぃるど
6529|DVDトースター|でぃーぶいでぃーとーすたー
5073|デカチン・巨根|でかちんきょこん
6004|デジモ|でじも
6006|デビュー作品|でびゅーさくひん
5066|電マ|でんま
6956|デート|でーと
6005|投稿|とうこう
4021|盗撮・のぞき|とうさつのぞき
4034|特撮|とくさつ
6900|特典あり（AVベースボール）|とくてんありえーぶいべーすぼーる
6575|動画|どうが
4014|童貞|どうてい
4023|ドキュメンタリー|どきゅめんたりー
6548|独占配信|どくせんはいしん
5015|ドラッグ|どらっぐ
4114|ドラマ|どらま
66329|ドラマ|どらま
42|ドール|どーる
5001|中出し|なかだし
6935|軟体|なんたい
4006|ナンパ|なんぱ
4015|ニューハーフ|にゅーはーふ
1029|妊婦|にんぷ
94|ニーソックス|にーそっくす
64|ネコミミ・獣系|ねこみみけものけい
4111|寝取り・寝取られ・NTR|ねとりねとられ
6957|飲み会・合コン|のみかいごうこん
6964|ノーパン|のーぱん
6972|ノーブラ|のーぶら
6925|ハイクオリティVR|はいくおりてぃぶいあーる
6533|ハイビジョン|はいびじょん
6070|How To|はうとぅー
2012|白人女優|はくじんじょゆう
27|辱め|はずかしめ
93|裸エプロン|はだかえぷろん
307935|8KVR|はちけーぶいあーる
6950|鼻フック|はなふっく
6974|花嫁|はなよめ
6002|ハメ撮り|はめどり
96|孕ませ|はらませ
5071|ハーレム|はーれむ
5006|バイブ|ばいぶ
1012|バスガイド|ばすがいど
6958|バック|ばっく
6949|罵倒|ばとう
3033|バニーガール|ばにーがーる
5019|パイズリ|ぱいずり
4019|パイパン|ぱいぱん
6008|パラダイスTV|ぱらだいすてぃーぶい
3006|パンスト・タイツ|ぱんすとたいつ
4016|パンチラ|ぱんちら
1023|秘書|ひしょ
1039|人妻・主婦|ひとづましゅふ
2023|日焼け|ひやけ
2005|貧乳・微乳|ひんにゅうびにゅう
1027|美少女|びしょうじょ
6939|ビジネススーツ|びじねすすーつ
6164|ビッチ|びっち
102|美乳|びにゅう
6963|病院・クリニック|びょういんくりにっく
4139|ファン感謝・訪問|ふぁんかんしゃほうもん
6566|FANZA配信限定|ふぁんざはいしんげんてい
17|ファンタジー|ふぁんたじー
88|フィスト|ふぃすと
5002|フェラ|ふぇら
81|複数話|ふくすうわ
300129|福袋|ふくぶくろ
6951|覆面・マスク|ふくめんますく
59|ふたなり|ふたなり
6555|復刻|ふっこく
1069|不倫|ふりん
6793|VR専用|ぶいあーるせんよう
4110|Vシネマ|ぶいしねま
6961|部活・マネージャー|ぶかつまねーじゃー
6946|部下・同僚|ぶかどうりょう
5003|ぶっかけ|ぶっかけ
6937|ヘルス・ソープ|へるすそーぷ
1085|変身ヒロイン|へんしんひろいん
6003|ベスト・総集編|べすとそうしゅうへん
6952|放置|ほうち
5011|放尿・お漏らし|ほうにょうおもらし
6962|ホテル|ほてる
18|ホラー|ほらー
3013|ボディコン|ぼでぃこん
5060|母乳|ぼにゅう
3015|ボンテージ|ぼんてーじ
558|BL（ボーイズラブ）|ぼーいずらぶ
2007|ぽっちゃり|ぽっちゃり
6108|ポルチオ|ぽるちお
4124|マッサージ・リフレ|まっさーじりふれ
1086|魔法少女|まほうしょうじょ
6960|ママ友|ままとも
63|巫女|みこ
3008|水着|みずぎ
2008|ミニ系|みにけい
3007|ミニスカ|みにすか
3012|ミニスカポリス|みにすかぽりす
1025|未亡人|みぼうじん
6973|娘・養女|むすめようじょ
6971|胸チラ|むねちら
1008|メイド|めいど
2004|めがね|めがね
6936|面接|めんせつ
4028|妄想|もうそう
6995|妄想族|もうそうぞく
1009|モデル|もでる
4020|野外・露出|やがいろしゅつ
5053|指マン|ゆびまん
4022|洋ピン・海外輸入|ようぴんかいがいゆにゅう
6933|ヨガ|よが
6012|4時間以上作品|よじかんいじょうさくひん
79015|4K|よんけー
569|ラブコメ|らぶこめ
4005|乱交|らんこう
3014|ランジェリー|らんじぇりー
6975|旅行|りょこう
3032|ルーズソックス|るーずそっくす
3035|レオタード|れおたーど
4040|レズ|れず
5062|レズキス|れずきす
4013|レズビアン|れずびあん
555|恋愛|れんあい
1011|レースクィーン|れーすくぃーん
6953|蝋燭|ろうそく
5057|ローション・オイル|ろーしょんおいる
5018|ローター|ろーたー
1020|若妻・幼妻|わかづまおさなづま
66318|和服・浴衣|わふくゆかた
3021|和服・浴衣|わふくゆかた
3002|和服・浴衣|わふくゆかた
