video_id	actress_id
1	1
1	2
1	36
1	3
1	11
1	15
1	208
1	6
1	39
1	104
1	117
1	17
1	322
1	130
1	143
1	19
1	129
1	715
1	219
1	108
1	196
1	67
1	35
1	172
1	149
1	256
1	60
1	147
1	123
1	34
1	162
1	505
1	98
1	151
1	38
1	532
1	311
1	183
1	291
1	475
1	1096
1	175
1	243
1	229
1	621
1	545
1	1363
1	293
2	1
2	131
2	476
2	206
2	1822
2	586
2	1012
2	515
2	1340
2	1539
2	1214
2	1319
3	1
4	113
4	1
4	36
4	3
4	11
4	51
4	22
4	6
4	28
4	40
4	26
4	171
4	142
4	190
4	148
4	60
4	147
4	185
4	16
4	471
4	162
4	116
4	151
4	38
4	83
4	319
4	880
4	175
4	458
5	1
5	1610
6	1
7	1
7	26
7	244
7	75
7	35
7	190
7	34
7	16
7	38
7	524
7	206
7	608
7	356
7	291
7	141
7	1206
7	1031
7	678
7	756
7	293
7	611
7	954
8	1
9	1
10	41
10	1
10	2
10	1107
10	63
10	153
10	15
10	6
10	17
10	65
10	358
10	77
10	143
10	19
10	253
10	108
10	75
10	35
10	62
10	88
10	99
10	194
10	190
10	387
10	110
10	147
10	185
10	16
10	292
10	162
10	663
10	368
10	1753
10	1626
10	38
10	658
10	92
10	344
10	342
10	90
10	591
10	373
10	1394
10	175
10	141
10	243
10	270
10	1600
10	145
10	458
10	93
11	773
11	125
11	64
11	23
11	1
11	24
11	8
11	15
11	28
11	57
11	340
11	875
11	904
11	1274
12	2
12	280
12	133
12	65
13	2
14	2
15	2
15	28
15	515
16	2
17	2
17	1057
17	2058
18	2
19	3
19	244
19	88
19	506
19	162
19	116
19	259
20	18
20	91
20	3
20	156
20	614
20	116
21	9
21	3
21	52
21	171
21	547
21	190
21	148
21	16
21	806
21	98
21	92
21	344
21	356
21	489
21	250
21	355
21	229
21	145
21	93
21	693
21	678
21	870
21	353
21	894
21	1361
21	767
22	1
22	36
22	3
22	11
22	6
22	17
22	322
22	26
22	171
22	19
22	715
22	180
22	108
22	67
22	35
22	265
22	1962
22	110
22	60
22	103
22	123
22	162
22	98
22	66
22	291
22	774
22	1341
22	175
22	1600
23	125
23	3
23	501
23	348
23	8
23	22
23	28
23	104
23	25
23	339
23	498
23	26
23	143
23	75
23	35
23	94
23	62
23	246
23	1662
23	21
23	78
23	284
23	148
23	60
23	34
23	1740
23	654
23	634
23	38
23	66
23	434
23	631
23	183
23	571
23	70
23	774
23	141
23	693
23	2062
23	186
23	582
23	499
24	41
24	1
24	3
24	11
24	15
24	208
24	17
24	130
24	171
24	143
24	19
24	67
24	35
24	62
24	194
24	21
24	190
24	387
24	149
24	256
24	60
24	162
24	634
24	38
24	1395
24	83
24	72
24	631
24	342
24	774
24	1341
24	805
24	243
24	270
24	145
24	93
24	1378
24	293
24	847
25	69
25	23
25	9
25	3
25	11
25	51
25	6
25	39
25	77
25	143
25	552
25	190
25	16
25	471
25	116
25	83
25	92
25	319
25	1097
25	90
25	313
25	821
25	767
26	3
26	244
26	190
26	506
26	539
26	162
26	932
26	931
26	70
26	259
26	707
26	1902
27	4
27	1
27	2
27	3
27	11
27	77
27	253
27	382
27	35
27	62
27	99
27	78
27	284
27	98
27	2338
27	38
27	342
27	90
27	250
27	141
27	93
27	186
27	847
27	1705
28	4
28	61
28	190
28	16
28	550
28	528
28	98
28	423
28	785
28	1032
28	175
28	313
28	93
28	693
28	678
28	274
28	353
28	735
28	767
29	4
29	95
29	68
29	174
29	267
30	4
31	4
31	128
31	9
31	181
31	28
31	52
31	299
31	253
31	103
31	16
31	2088
31	344
31	931
31	565
31	145
31	870
31	2206
32	4
32	69
32	9
32	3
32	11
32	257
32	15
32	272
32	26
32	171
32	19
32	20
32	35
32	149
32	456
32	148
32	123
32	34
32	185
32	16
32	162
32	116
32	66
32	92
32	571
32	355
32	270
32	160
32	693
32	855
32	186
32	1902
32	1055
32	353
33	4
33	69
33	9
33	28
33	26
33	20
33	179
33	88
33	190
33	456
33	148
33	16
33	162
33	116
33	786
33	38
33	83
33	92
33	90
33	250
33	175
33	229
33	948
33	748
33	93
33	186
33	1902
33	1055
34	4
34	69
34	228
34	9
34	3
34	51
34	428
34	244
34	20
34	926
34	987
34	392
34	190
34	60
34	841
34	123
34	391
34	518
34	162
34	663
34	116
34	66
34	92
34	238
34	1167
34	543
34	270
34	329
34	948
34	748
35	4
35	69
35	9
35	257
35	171
35	299
35	179
35	88
35	103
35	16
35	663
35	116
35	786
35	72
35	319
35	931
35	250
35	93
35	595
35	186
36	4
36	11
36	28
36	1032
36	250
36	313
37	4
37	69
37	9
37	3
37	257
37	153
37	171
37	19
37	179
37	88
37	190
37	60
37	307
37	147
37	34
37	185
37	16
37	518
37	2088
37	116
37	98
37	871
37	38
37	83
37	344
37	356
37	1086
37	741
37	250
37	313
37	243
37	329
37	93
37	1276
37	915
37	595
37	274
37	855
37	504
37	840
37	847
37	2206
37	1055
38	4
38	11
38	51
38	6
38	39
38	57
38	171
38	61
38	179
38	88
38	21
38	190
38	110
38	148
38	60
38	147
38	34
38	16
38	550
38	528
38	116
38	98
38	38
38	66
38	423
38	83
38	1414
38	90
38	70
38	1096
38	1341
38	175
38	313
38	229
38	270
38	160
38	595
38	430
38	1451
39	5
40	5
41	5
42	467
42	5
43	5
43	8
43	133
43	1539
44	1477
44	5
44	125
44	2147
44	23
44	1568
44	1496
45	5
46	5
46	883
46	172
46	368
46	1215
46	701
46	186
46	1986
46	594
46	1152
46	1300
46	1201
46	1578
47	5
48	5
49	69
49	198
49	24
49	9
49	22
49	251
49	322
49	1565
49	1629
49	299
49	60
49	1932
49	206
50	198
50	51
50	15
50	97
50	171
50	20
50	179
50	357
50	391
50	34
50	255
50	116
50	575
50	72
50	92
50	1278
50	238
50	571
50	1013
50	439
50	259
50	1167
50	175
50	543
50	605
50	229
50	270
50	621
50	160
50	545
50	1682
50	2375
50	145
50	1024
50	740
50	855
50	186
50	1598
50	688
50	1655
50	1055
51	198
51	51
51	15
51	357
51	88
51	34
51	255
51	66
51	575
51	92
51	1278
51	238
51	259
51	175
51	329
51	160
51	145
51	1024
51	740
51	1435
51	595
51	1480
51	504
52	113
52	198
52	24
52	36
52	51
52	15
52	26
52	171
52	20
52	67
52	357
52	60
52	123
52	391
52	1499
52	576
52	162
52	116
52	66
52	575
52	521
52	92
52	1223
52	1278
52	238
52	291
52	571
52	70
52	439
52	259
52	565
52	349
52	175
52	543
52	605
52	243
52	229
52	270
52	621
52	160
52	545
52	145
52	1024
52	740
52	1435
52	1480
52	504
52	1598
52	688
52	630
52	2288
52	1655
52	515
53	80
53	198
53	24
53	9
53	1565
53	299
53	298
53	219
53	67
53	939
53	256
53	60
53	66
53	521
53	259
53	621
53	915
53	707
54	198
54	357
54	116
54	575
54	72
54	521
54	92
54	1223
54	238
54	1013
54	439
54	259
54	1167
54	270
54	748
54	145
54	1024
54	2061
55	198
55	299
55	357
55	88
55	60
55	123
55	391
55	255
55	521
55	92
55	1278
55	880
55	270
55	595
55	274
55	186
56	198
56	9
56	299
56	170
56	88
56	387
56	238
56	1013
56	259
56	175
56	160
56	1024
56	504
56	1598
57	113
57	198
57	24
57	36
57	51
57	15
57	39
57	26
57	171
57	299
57	20
57	67
57	35
57	246
57	357
57	88
57	456
57	60
57	103
57	775
57	123
57	391
57	34
57	162
57	2339
57	627
57	116
57	66
57	1932
57	575
57	206
57	72
57	521
57	92
57	1223
57	1278
57	238
57	291
57	571
57	880
57	70
57	1013
57	1096
57	439
57	259
57	565
57	1167
57	349
57	605
57	243
57	229
57	621
57	329
57	160
57	545
57	1682
57	145
57	1988
57	1024
57	740
57	1435
57	186
57	2061
57	1480
57	504
57	688
57	630
57	1389
57	1055
58	80
58	198
58	299
58	357
58	60
58	103
58	255
58	627
58	66
58	521
58	92
58	355
58	270
58	160
58	504
59	198
59	51
59	15
59	26
59	357
59	60
59	162
59	116
59	206
59	238
59	70
59	1167
59	621
59	160
59	740
59	1435
59	1480
60	198
61	42
61	1591
61	429
61	1652
61	2150
61	1127
61	4
61	1636
61	541
61	960
61	1082
61	470
61	87
61	195
61	198
62	198
63	198
64	198
65	198
66	198
67	198
68	198
69	198
70	69
70	1
70	198
70	24
70	9
70	556
70	3
70	410
70	327
70	10
70	39
70	1565
70	1504
70	874
70	299
70	100
70	20
70	715
70	1119
70	219
70	108
70	421
70	1934
70	660
70	67
70	170
70	587
70	426
70	1663
70	939
71	198
72	198
73	69
73	200
73	1
73	198
73	33
73	24
73	276
73	9
73	1239
73	556
73	3
73	300
73	410
73	79
73	15
73	111
73	290
73	443
73	10
73	197
73	39
73	1221
73	104
73	13
73	54
73	182
73	189
73	494
73	617
73	364
73	251
73	579
73	222
73	322
73	1758
73	999
73	1966
73	1565
73	288
73	216
73	1328
73	1247
73	874
73	1629
73	100
73	20
73	1118
73	1033
73	421
73	1934
73	2342
73	660
73	67
73	170
73	1398
73	997
73	426
73	1663
73	939
73	151
74	198
75	198
76	198
77	300
78	1
78	18
78	3
78	300
78	50
78	79
78	15
78	290
78	10
78	173
78	1080
78	13
78	424
78	1035
78	54
78	230
78	451
78	14
78	219
79	300
79	50
79	79
79	15
79	633
80	1
80	2
80	3
80	300
80	101
80	50
80	22
80	15
80	6
80	10
80	337
80	25
80	13
80	14
80	17
80	222
80	31
80	261
80	100
81	11
81	300
81	50
81	47
81	15
81	10
81	394
81	81
81	633
81	54
81	52
81	683
82	168
82	9
82	300
82	1916
82	8
82	111
82	934
82	230
83	1458
83	1536
83	4
83	23
83	1
83	264
83	1509
83	7
83	85
83	128
83	76
83	9
83	782
83	27
83	11
83	300
83	410
83	101
83	788
83	50
83	29
83	47
83	6
83	443
83	10
83	44
83	105
83	104
83	337
83	13
83	137
83	119
83	882
83	52
83	17
83	31
83	324
83	100
84	23
84	1
84	1509
84	2
84	33
84	124
84	300
84	50
84	63
84	352
84	29
84	1567
84	30
84	79
84	15
84	845
84	290
84	199
84	459
84	394
84	28
84	337
84	25
84	305
84	173
84	334
84	13
84	633
84	54
84	52
85	300
85	187
85	2172
85	8
85	1121
86	42
86	114
86	69
86	213
86	200
86	361
86	301
86	195
86	704
86	2319
86	396
86	24
86	803
86	276
86	157
86	1532
86	1239
86	1421
86	436
86	300
86	167
86	2317
86	205
86	1632
86	295
86	2136
86	1859
86	572
86	2006
86	2561
86	22
86	1646
86	408
86	327
86	281
86	484
86	290
86	770
86	231
86	1382
86	105
86	39
86	1312
86	1072
86	919
86	2170
86	1466
86	164
86	137
86	252
86	905
86	1691
86	738
86	897
86	1364
86	579
86	404
86	814
86	277
86	358
86	2216
87	96
87	4
87	23
87	1
87	264
87	85
87	140
87	328
87	300
87	101
87	50
87	394
88	446
88	69
88	200
88	1
88	87
88	198
88	33
88	331
88	76
88	557
88	276
88	9
88	191
88	1239
88	45
88	540
88	300
88	1968
88	1283
88	2046
88	2174
88	181
88	464
88	187
88	79
88	15
88	1470
88	761
88	111
88	290
88	443
88	10
88	197
88	1121
88	1346
88	459
88	1858
88	39
88	57
88	431
88	1631
88	2042
88	1080
88	13
88	1019
88	424
88	54
88	182
88	252
88	988
88	491
88	617
88	1745
88	322
88	100
89	207
89	492
89	227
89	69
89	155
89	198
89	228
89	396
89	9
89	673
89	328
89	11
89	300
89	410
89	22
89	6
89	111
89	416
89	173
89	54
89	529
90	4
90	69
90	228
90	300
90	410
90	101
90	44
90	262
90	620
90	1492
91	24
91	9
91	300
91	208
91	648
91	231
92	1241
92	213
92	1
92	87
92	228
92	1000
92	300
92	10
92	233
93	69
93	200
93	1
93	198
93	33
93	76
93	276
93	9
93	1239
93	45
93	540
93	300
93	409
93	181
93	464
93	8
93	79
93	22
93	15
93	1470
93	761
93	111
93	648
93	443
93	10
93	197
93	1121
93	1346
93	459
93	323
93	1469
93	39
93	1221
93	104
93	57
93	431
93	1631
93	2042
93	1080
93	13
93	1371
93	1019
93	424
93	54
93	1779
93	252
93	988
93	189
93	537
93	491
93	494
93	617
93	1745
93	216
93	100
94	49
94	700
94	24
94	1008
94	9
94	300
94	111
94	39
94	13
94	297
94	189
95	300
95	29
96	200
96	198
96	969
96	396
96	829
96	602
96	276
96	9
96	540
96	1587
96	11
96	300
96	410
96	1314
96	187
96	79
96	138
96	290
96	10
96	428
96	416
96	459
96	337
96	431
96	182
97	168
97	202
97	226
97	227
97	268
97	1
97	228
97	33
97	91
97	540
97	11
97	300
97	22
97	15
97	6
97	111
97	138
97	199
97	443
97	10
97	105
97	337
97	1080
97	13
97	1019
97	400
97	182
97	1581
97	1797
98	107
98	168
98	227
98	4
98	549
98	287
98	23
98	41
98	37
98	1
98	1509
98	530
98	128
98	91
98	27
98	11
98	300
98	29
98	146
98	79
98	47
98	22
98	6
98	59
98	111
98	138
98	290
98	443
98	10
98	1382
98	105
98	416
98	28
98	39
98	188
98	337
98	173
98	1418
98	495
98	431
98	523
98	1042
98	1466
98	2309
98	13
98	54
98	182
98	189
98	119
99	202
99	23
99	1
99	503
99	76
99	276
