video_id	maker_id
1	3013
2	2153
3	1339
4	2356
5	1627
6	3732
7	3905
8	3905
9	3942
10	3216
11	1363
12	1627
13	3732
14	1336
15	1250
16	1250
17	3013
18	1817
19	3583
20	4269
21	4414
22	3013
23	4247
24	3013
25	2356
26	3583
27	3905
28	3905
29	2724
30	39
31	4414
32	4414
33	4414
34	4414
35	4414
36	4414
37	4414
38	3905
39	1337
40	3564
41	4239
42	3448
43	1315
44	1337
45	2223
46	3827
47	4239
48	102
49	818
50	818
51	818
52	818
53	818
54	818
55	818
56	818
57	818
58	818
59	818
60	174
61	4241
62	3905
63	818
64	174
65	174
66	174
67	174
68	547
69	818
70	818
71	818
72	818
73	818
74	818
75	818
76	818
77	2230
78	4247
79	4247
80	3013
81	4247
82	3198
83	1347
84	4247
85	2943
86	565
87	4247
88	818
89	3905
90	3905
91	4241
92	4741
93	818
94	4241
95	3905
96	3905
97	3583
98	4414
99	2356
100	4241
101	818
102	3905
103	4414
104	818
105	3905
106	3905
107	4414
108	3905
109	1055
110	818
111	4414
112	4414
113	3905
114	818
115	3905
116	4414
117	2356
118	3905
119	3905
120	3905
121	2943
122	3905
123	3905
124	3905
125	4414
126	3666
127	3905
128	3905
129	3905
130	3583
131	4241
132	818
133	3905
134	3583
135	4414
136	818
137	3905
138	3583
139	1339
140	4241
141	4168
142	3905
143	2249
144	4414
145	4414
146	565
147	4241
148	818
149	818
150	4168
151	3905
152	2249
153	818
154	4168
155	3905
156	4414
157	4414
158	818
159	4168
160	3905
161	2249
162	2249
163	3666
164	818
165	3905
166	3864
167	3241
168	4414
169	3583
170	3905
171	4414
172	4168
173	3905
174	2249
175	4414
176	3905
177	3905
178	818
179	4168
180	4168
181	3905
182	4414
183	2275
184	818
185	4168
186	3905
187	3241
188	4414
189	4168
190	3905
191	3905
192	4168
193	3905
194	565
195	565
196	4414
197	3666
198	4168
199	565
200	2249
201	382
202	382
203	2249
204	3241
205	4414
206	3666
207	4241
208	818
209	4168
210	382
211	2275
212	2356
213	4054
214	382
215	565
216	565
217	3241
218	3666
219	2943
220	2249
221	565
222	3347
223	2943
224	565
225	565
226	3347
227	565
228	3666
229	565
230	4247
231	1347
232	2249
233	3347
234	3764
235	1219
236	1219
237	1219
238	1219
239	1219
240	1219
241	1219
242	1219
243	1219
244	4241
245	1219
246	1219
247	1219
248	1219
249	3764
250	1219
251	1219
252	1219
253	1219
254	1219
255	1219
256	1219
257	1219
258	1219
259	1219
260	1219
261	1219
262	1219
263	1219
264	565
265	1219
266	1219
267	565
268	1219
269	1219
270	1219
271	1219
272	1219
273	565
274	1219
275	1219
276	1219
277	1219
278	1219
279	1219
280	1219
281	4740
282	1219
283	4740
284	1219
285	1219
286	565
287	1219
288	1219
289	1219
290	1219
291	1219
292	565
293	1219
294	1219
295	565
296	1219
297	1219
298	3764
299	1219
300	1219
301	1219
302	1219
303	1219
304	3764
305	1219
306	3764
307	1219
308	3764
309	3764
310	1219
311	3764
312	3764
313	1219
314	3764
315	1219
316	3764
317	3764
318	3764
319	3764
320	1219
321	3764
322	3764
323	1219
324	3764
325	3764
326	3764
327	1219
328	1219
329	3764
330	3764
331	3764
332	3764
333	1219
334	3764
335	3764
336	1219
337	3764
338	3764
339	3764
340	1219
341	3764
342	1219
343	565
344	3764
345	3764
346	565
347	1219
348	4241
349	3764
350	3764
351	1219
352	565
353	565
354	3764
355	565
356	565
357	565
358	3764
359	565
360	565
361	565
362	3764
363	565
364	565
365	565
366	565
367	3764
368	3764
369	3764
370	3764
371	3764
372	3764
373	3764
374	3764
375	3764
376	3764
377	3764
378	3764
379	3764
380	3764
381	3764
382	3764
383	3764
