video_id	attribute	url
13	list	https://pics.dmm.co.jp/digital/video/h_068mxgs01398/h_068mxgs01398pt.jpg
13	small	https://pics.dmm.co.jp/digital/video/h_068mxgs01398/h_068mxgs01398ps.jpg
13	large	https://pics.dmm.co.jp/digital/video/h_068mxgs01398/h_068mxgs01398pl.jpg
14	list	https://pics.dmm.co.jp/digital/video/gara00014/gara00014pt.jpg
14	small	https://pics.dmm.co.jp/digital/video/gara00014/gara00014ps.jpg
14	large	https://pics.dmm.co.jp/digital/video/gara00014/gara00014pl.jpg
15	list	https://pics.dmm.co.jp/digital/video/madm00207/madm00207pt.jpg
15	small	https://pics.dmm.co.jp/digital/video/madm00207/madm00207ps.jpg
15	large	https://pics.dmm.co.jp/digital/video/madm00207/madm00207pl.jpg
16	list	https://pics.dmm.co.jp/digital/video/mase00075/mase00075pt.jpg
16	small	https://pics.dmm.co.jp/digital/video/mase00075/mase00075ps.jpg
16	large	https://pics.dmm.co.jp/digital/video/mase00075/mase00075pl.jpg
18	list	https://pics.dmm.co.jp/digital/video/nkkd00355/nkkd00355pt.jpg
18	small	https://pics.dmm.co.jp/digital/video/nkkd00355/nkkd00355ps.jpg
18	large	https://pics.dmm.co.jp/digital/video/nkkd00355/nkkd00355pl.jpg
19	list	https://pics.dmm.co.jp/digital/video/pbd00502/pbd00502pt.jpg
19	small	https://pics.dmm.co.jp/digital/video/pbd00502/pbd00502ps.jpg
19	large	https://pics.dmm.co.jp/digital/video/pbd00502/pbd00502pl.jpg
20	list	https://pics.dmm.co.jp/digital/video/125umd00976/125umd00976pt.jpg
20	small	https://pics.dmm.co.jp/digital/video/125umd00976/125umd00976ps.jpg
20	large	https://pics.dmm.co.jp/digital/video/125umd00976/125umd00976pl.jpg
23	list	https://pics.dmm.co.jp/digital/video/real00933/real00933pt.jpg
23	small	https://pics.dmm.co.jp/digital/video/real00933/real00933ps.jpg
23	large	https://pics.dmm.co.jp/digital/video/real00933/real00933pl.jpg
25	list	https://pics.dmm.co.jp/digital/video/cjob00187/cjob00187pt.jpg
25	small	https://pics.dmm.co.jp/digital/video/cjob00187/cjob00187ps.jpg
25	large	https://pics.dmm.co.jp/digital/video/cjob00187/cjob00187pl.jpg
26	list	https://pics.dmm.co.jp/digital/video/pbd00500/pbd00500pt.jpg
26	small	https://pics.dmm.co.jp/digital/video/pbd00500/pbd00500ps.jpg
26	large	https://pics.dmm.co.jp/digital/video/pbd00500/pbd00500pl.jpg
27	list	https://pics.dmm.co.jp/digital/video/mizd00473/mizd00473pt.jpg
27	small	https://pics.dmm.co.jp/digital/video/mizd00473/mizd00473ps.jpg
27	large	https://pics.dmm.co.jp/digital/video/mizd00473/mizd00473pl.jpg
28	list	https://pics.dmm.co.jp/digital/video/mizd00480/mizd00480pt.jpg
28	small	https://pics.dmm.co.jp/digital/video/mizd00480/mizd00480ps.jpg
28	large	https://pics.dmm.co.jp/digital/video/mizd00480/mizd00480pl.jpg
29	list	https://pics.dmm.co.jp/digital/video/nsfs00411/nsfs00411pt.jpg
29	small	https://pics.dmm.co.jp/digital/video/nsfs00411/nsfs00411ps.jpg
29	large	https://pics.dmm.co.jp/digital/video/nsfs00411/nsfs00411pl.jpg
39	list	https://pics.dmm.co.jp/digital/video/sgm00060/sgm00060pt.jpg
39	small	https://pics.dmm.co.jp/digital/video/sgm00060/sgm00060ps.jpg
39	large	https://pics.dmm.co.jp/digital/video/sgm00060/sgm00060pl.jpg
40	list	https://pics.dmm.co.jp/digital/video/h_237zmar00144/h_237zmar00144pt.jpg
40	small	https://pics.dmm.co.jp/digital/video/h_237zmar00144/h_237zmar00144ps.jpg
